Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas
Producto,Technical Product Director,12-18,"Dirección de productos técnicos, estrategia global de plataforma, roadmap técnico corporativo, gobierno tecnológico, planificación"
Producto,VP of Technical Product,15+,"Liderazgo ejecutivo de producto técnico, visión estratégica global, desarrollo organizacional, estrategia técnica corporativa"

# Producto - Growth Product Manager
Producto,Growth PM Trainee,0-1,"Fundamentos de growth, métricas básicas de conversión, experimentación básica, investigación de usuario, product discovery"
Producto,Growth PM Junior,0-2,"Desarrollo de experimentos, implementación de funnel de conversión, A/B testing básico, análisis de comportamiento, iteración"
Producto,Growth PM Mid-level,2-4,"Diseño de estrategias de crecimiento, experimentación avanzada, optimización de embudos, growth loops, investigación cuantitativa"
Producto,Growth PM Senior,4-7,"Estrategia de crecimiento end-to-end, frameworks de experimentación, North Star Metrics, modelos econométricos, mentorización"
Producto,Growth PM Tech Lead,7-10,"Liderazgo de equipos de growth, estrategia multi-canal, modelos de adquisición/retención/monetización, growth accounting"
Producto,Growth PM Architect,8-12,"Diseño de arquitecturas de growth, estrategias de escalado, frameworks de adquisición, retención y monetización, multi-canal"
Producto,Principal Growth PM,10-15,"Liderazgo de estrategias de growth, innovación en crecimiento, estrategia corporativa, consultoría interna, mentorización"
Producto,Growth Director,12-18,"Dirección de growth corporativo, estrategia global de crecimiento, frameworks de escalado, alineación con negocio, planificación"
Producto,VP of Growth,15+,"Liderazgo ejecutivo de growth, visión estratégica global, desarrollo organizacional, estrategia corporativa de crecimiento"

# Producto - Innovation Manager
Producto,Innovation Manager Trainee,0-1,"Fundamentos de innovación, herramientas básicas de ideación, soporte a procesos creativos, documentación básica, investigación guiada"
Producto,Innovation Manager Junior,0-2,"Gestión de ideas, investigación básica, implementación de procesos creativos simples, documentación de innovación, ideación"
Producto,Innovation Manager Mid-level,2-4,"Facilitación de innovation workshops, design thinking, metodologías de innovación, ideación estructurada, prototipado rápido"
Producto,Innovation Manager Senior,4-7,"Estrategia de innovación, implementación de labs/incubadoras, evaluación de nuevas tecnologías, programas de innovación abierta"
Producto,Innovation Manager Tech Lead,7-10,"Liderazgo de equipos de innovación, transformación cultural, programas de intraemprendimiento, presupuestos, mentorización"
Producto,Innovation Manager Architect,8-12,"Diseño de arquitecturas de innovación, estrategias de transformación, frameworks de creatividad, incubación, ecosistemas"
Producto,Principal Innovation Manager,10-15,"Liderazgo de innovación corporativa, innovación disruptiva, estrategia de venture building, consultoría interna, estrategia"
Producto,Innovation Director,12-18,"Dirección de innovación corporativa, estrategia global, ecosistemas de innovación, alianzas estratégicas, planificación"
Producto,VP of Innovation/Chief Innovation Officer,15+,"Liderazgo ejecutivo de innovación, transformación organizacional, innovación disruptiva, estrategia corporativa, ecosistemas"

# Diseño - UX Design
Diseño,UX Designer Trainee,0-1,"Fundamentos de UX, investigación de usuarios básica, wireframes básicos, principios de usabilidad, pruebas de usuario básicas, arquetipos de usuarios"
Diseño,UX Designer Junior,0-2,"Wireframing, flujos de usuario, investigación de usuarios guiada, pruebas de usabilidad, arquitectura de información básica, entrevistas básicas"
Diseño,UX Designer Mid-level,2-4,"Investigación de usuarios avanzada, arquetipos detallados, journey maps, arquitectura de información, testing moderado, estrategias de contenido"
Diseño,UX Designer Senior,4-7,"Estrategia de experiencia, investigación avanzada, liderazgo de proyectos, estrategias de investigación, prototipado avanzado, mentorización"
Diseño,UX Designer Tech Lead,7-10,"Liderazgo de equipos de UX, marcos de investigación, estrategia de diseño centrado en usuario, facilitación de workshops, definición de procesos"
Diseño,UX Designer Architect,8-12,"Diseño de arquitecturas de experiencia de usuario, estrategias de investigación, frameworks de UX, experiencia cross-platform, sistemas"
Diseño,Principal UX Designer,10-15,"Liderazgo de prácticas de UX, innovación en experiencia de usuario, estrategia corporativa, consultoría interna, mentorización de equipos"
Diseño,UX Design Director,12-18,"Dirección de UX, estrategia global de experiencia, transformación centrada en usuario, gestión de departamentos, planificación"
Diseño,VP of User Experience,15+,"Liderazgo ejecutivo de UX, visión estratégica global, transformación de experiencia, desarrollo organizacional, innovación disruptiva"

# Diseño - UI Design
Diseño,UI Designer Trainee,0-1,"Fundamentos de diseño visual, herramientas de diseño básicas, principios de composición y color, tipografía básica, conceptos de responsive"
Diseño,UI Designer Junior,0-2,"Diseño de interfaces básicas, aplicación de guideliness, sistemas de diseño básicos, microinteracciones simples, prototipado visual"
Diseño,UI Designer Mid-level,2-4,"Diseño de interfaces complejas, creación de componentes, diseño responsive avanzado, animaciones, contribución a sistemas de diseño"
Diseño,UI Designer Senior,4-7,"Sistemas de diseño, dirección de arte, consistencia multiplataforma, diseño visual estratégico, mentorización, branding digital"
Diseño,UI Designer Tech Lead,7-10,"Liderazgo de equipos UI, definición de sistemas de diseño, estrategia visual, identidad de marca digital, dirección creativa"
Diseño,UI Designer Architect,8-12,"Diseño de arquitecturas visuales, sistemas de diseño corporativos, frameworks visuales, estrategias multiplataforma, escalabilidad"
Diseño,Principal UI Designer,10-15,"Liderazgo de prácticas de UI, innovación en diseño visual, estrategia corporativa, consultoría interna, mentorización de equipos"
Diseño,UI Design Director,12-18,"Dirección de diseño visual organizacional, estrategia de diseño a nivel empresa, transformación visual, escalabilidad de diseño"
Diseño,VP of Visual Design,15+,"Liderazgo ejecutivo de diseño visual, visión de identidad de marca, transformación de diseño organizacional, innovación visual disruptiva"

# Diseño - UX Research
Diseño,UX Researcher Trainee,0-1,"Fundamentos de investigación UX, métodos básicos cualitativos/cuantitativos, herramientas básicas, toma de notas, participación en entrevistas"
Diseño,UX Researcher Junior,0-2,"Entrevistas de usuario, pruebas de usabilidad, análisis básico de datos, reclutamiento de participantes, creación de protocolos simples"
Diseño,UX Researcher Mid-level,2-4,"Diseño de estudios, métodos mixtos, análisis avanzado, insights accionables, presentación de resultados, influencia en decisiones"
Diseño,UX Researcher Senior,4-7,"Estrategia de investigación, métodos avanzados, investigación internacional, stakeholder management, mentorización, workshop facilitation"
Diseño,UX Researcher Tech Lead,7-10,"Liderazgo de equipos research, marcos de investigación, estrategia de insight, repository management, escalamiento de investigación"
Diseño,UX Researcher Architect,8-12,"Diseño de arquitecturas de investigación, estrategias orgánicas, frameworks de insight, democratización, sistemas de investigación"
Diseño,Principal UX Researcher,10-15,"Liderazgo de prácticas de investigación, innovación en métodos, estrategia corporativa, consultoría interna, mentorización de equipos"
Diseño,UX Research Director,12-18,"Dirección de investigación organizacional, estrategia de insight a nivel empresa, transformación basada en evidencia, cultura research"
Diseño,VP of UX Research,15+,"Liderazgo ejecutivo de investigación, visión estratégica global, transformación organizacional basada en usuario, innovación disruptiva"

# Diseño - Graphic/Brand Design
Diseño,Graphic Designer Trainee,0-1,"Fundamentos de diseño gráfico, herramientas básicas (Adobe), composición, tipografía, color, creación de elementos visuales simples"
Diseño,Graphic Designer Junior,0-2,"Creación de piezas gráficas, aplicación de brand guidelines, layouts básicos, composición visual, producción de materiales simples"
Diseño,Graphic Designer Mid-level,2-4,"Diseño gráfico avanzado, desarrollo de brand assets, manuales de marca, diseño editorial, marketing visual, conceptualización"
Diseño,Graphic Designer Senior,4-7,"Dirección creativa, estrategia de marca, sistemas visuales, conceptos visuales complejos, mentorización, storytelling visual"
Diseño,Graphic Designer Tech Lead,7-10,"Liderazgo de equipos de diseño gráfico, estrategia creativa, sistemas de identidad, dirección de marca, definición de estándares"
Diseño,Graphic Designer Architect,8-12,"Diseño de arquitecturas visuales, sistemas de identidad corporativa, frameworks creativos, estrategias multiplataforma, escalabilidad"
Diseño,Principal Graphic Designer,10-15,"Liderazgo de prácticas de diseño gráfico, innovación visual, estrategia corporativa, consultoría interna, mentorización de equipos"
Diseño,Graphic Design Director,12-18,"Dirección creativa organizacional, estrategia de marca a nivel empresa, visión creativa, transformación de marca, liderazgo creativo"
Diseño,VP of Brand/Chief Creative Officer,15+,"Liderazgo ejecutivo creativo, visión de marca global, transformación creativa organizacional, innovación de marca disruptiva"

# Diseño - Design Systems/Design Ops
Diseño,Design System Designer Trainee,0-1,"Fundamentos de sistemas de diseño, herramientas básicas, aprendizaje de librerías, documentación básica, soporte supervisado"
Diseño,Design System Designer Junior,0-2,"Implementación de componentes básicos, documentación de sistemas, soporte a equipos, mantenimiento básico de librerías, QA visual"
Diseño,Design System Designer Mid-level,2-4,"Desarrollo de componentes complejos, definición de tokens, patrones de interacción, principios de sistema, colaboración con desarrollo"
Diseño,Design System Designer Senior,4-7,"Arquitectura de sistemas de diseño, escalabilidad, estrategia de adopción, governance de componentes, optimización de flujos de trabajo"
Diseño,Design System Designer Tech Lead,7-10,"Liderazgo de equipos de design systems, estrategia de escalabilidad, roadmap de sistemas, evangelización, integración con código"
Diseño,Design System Designer Architect,8-12,"Diseño de arquitecturas de sistemas, estrategias de gobernanza, frameworks de operaciones, escalabilidad organizacional"
Diseño,Principal Design System Designer,10-15,"Liderazgo de prácticas de design systems, innovación en sistemas, estrategia corporativa, consultoría interna, mentorización"
Diseño,Design Systems Director,12-18,"Dirección de sistemas de diseño organizacionales, estrategia multi-brand/multi-producto, transformación de procesos creativos"
Diseño,VP of Design Systems,15+,"Liderazgo ejecutivo de sistemas de diseño, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - Gestión y Liderazgo
Diseño,Design Manager,8-15,"Gestión directa de diseñadores, evaluación de desempeño, desarrollo de carrera, planificación estratégica, resolución de conflictos"
Diseño,Senior Design Manager,10-15,"Gestión de múltiples equipos de diseño, planificación estratégica, optimización de procesos, gestión de presupuesto, estrategia creativa"
Diseño,Design Director,12-18,"Dirección de departamentos de diseño, estrategia de diseño global, innovación, gestión de managers, planificación a largo plazo"
Diseño,VP of Design,15+,"Liderazgo ejecutivo de diseño, estrategia a nivel de empresa, gestión presupuestaria global, desarrollo organizacional, alianzas creativas"
Diseño,Chief Design Officer (CDO),15+,"Liderazgo ejecutivo de diseño, visión estratégica corporativa, transformación centrada en diseño, innovación disruptiva, cultura de diseño"

# Diseño - Motion Designer
Diseño,Motion Designer Trainee,0-1,"Fundamentos de animación, herramientas básicas (After Effects), principios de movimiento, composición temporal, conceptos de timing"
Diseño,Motion Designer Junior,0-2,"Animaciones básicas, transiciones simples, microanimaciones de UI, animación de logos sencillos, efectos visuales básicos"
Diseño,Motion Designer Mid-level,2-4,"Animaciones complejas, efectos visuales avanzados, expressions básicas, storyboarding, animación para diferentes plataformas"
Diseño,Motion Designer Senior,4-7,"Dirección de animación, sistemas de movimiento, narrativa visual, mentorización, proyectos complejos, identidad de movimiento"
Diseño,Motion Designer Tech Lead,7-10,"Liderazgo de equipos de motion, definición de principles de movimiento, visión estratégica, dirección de proyectos complejos"
Diseño,Motion Designer Architect,8-12,"Diseño de arquitecturas de movimiento, sistemas de animación corporativos, frameworks de interacción, investigación"
Diseño,Principal Motion Designer,10-15,"Liderazgo de prácticas de motion, innovación en animación, estrategia corporativa, consultoría interna, mentorización"
Diseño,Motion Design Director,12-18,"Dirección de motion design organizacional, estrategia global de animación, transformación visual, gestión creativa"
Diseño,VP of Motion Design,15+,"Liderazgo ejecutivo de motion design, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - Layout Designer
Diseño,Layout Designer Trainee,0-1,"Fundamentos de composición, grids básicos, jerarquía visual básica, herramientas fundamentales, principios de organización"
Diseño,Layout Designer Junior,0-2,"Composición visual, maquetación básica, implementación de grids, jerarquía informativa, adaptación de layouts"
Diseño,Layout Designer Mid-level,2-4,"Sistemas de grid complejos, maquetación avanzada, responsive layouts, estrategias multi-dispositivo, jerarquía visual avanzada"
Diseño,Layout Designer Senior,4-7,"Arquitectura de información visual, sistemas de composición, estrategias multi-platform, mentorización, sistemas modulares"
Diseño,Layout Designer Tech Lead,7-10,"Liderazgo de equipos de layout, definición de sistemas de grid, estrategias de composición, dirección de proyectos complejos"
Diseño,Layout Designer Architect,8-12,"Diseño de arquitecturas de layout, sistemas modulares corporativos, frameworks de organización, investigación"
Diseño,Principal Layout Designer,10-15,"Liderazgo de prácticas de layout, innovación en composición, estrategia corporativa, consultoría interna, mentorización"
Diseño,Layout Design Director,12-18,"Dirección de layout design organizacional, estrategia global de composición, transformación visual, gestión creativa"
Diseño,VP of Layout Design,15+,"Liderazgo ejecutivo de layout design, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - UX Writer
Diseño,UX Writer Trainee,0-1,"Fundamentos de UX writing, principios de copywriting, microcopy básico, voice & tone básico, nomenclatura UI elemental"
Diseño,UX Writer Junior,0-2,"Redacción de microcopy, nomenclatura de UI, instructions básicas, error states, mensajes transaccionales simples"
Diseño,UX Writer Mid-level,2-4,"Content design, estrategias conversacionales, sistemas de alertas, voice & tone guidelines, taxonomy & labeling"
Diseño,UX Writer Senior,4-7,"Estrategia de contenido, content frameworks, sistemas conversacionales, mentorización, content ops, localización"
Diseño,UX Writer Tech Lead,7-10,"Liderazgo de equipos de UX writing, definición de voice & tone, estrategias de contenido, dirección de proyectos complejos"
Diseño,UX Writer Architect,8-12,"Diseño de arquitecturas de contenido, sistemas de contenido corporativos, frameworks conversacionales, investigación"
Diseño,Principal UX Writer,10-15,"Liderazgo de prácticas de content design, innovación en UX writing, estrategia corporativa, consultoría interna"
Diseño,UX Writing Director,12-18,"Dirección de UX writing organizacional, estrategia global de contenido, transformación comunicacional, gestión creativa"
Diseño,VP of Content Design,15+,"Liderazgo ejecutivo de content design, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - Interaction Designer
Diseño,Interaction Designer Trainee,0-1,"Fundamentos de interacción, patrones básicos, herramientas fundamentales, principios de usabilidad, conceptos de microinteracciones"
Diseño,Interaction Designer Junior,0-2,"Diseño de interacciones básicas, patrones de UI, prototipado simple, microinteracciones básicas, transiciones elementales"
Diseño,Interaction Designer Mid-level,2-4,"Patrones de interacción avanzados, prototipado complejo, transiciones avanzadas, diseño de comportamiento, user flows"
Diseño,Interaction Designer Senior,4-7,"Estrategias de interacción, sistemas de comportamiento, prototipado avanzado, mentorización, frameworks interactivos"
Diseño,Interaction Designer Tech Lead,7-10,"Liderazgo de equipos de interacción, definición de patrones, estrategias de comportamiento, dirección creativa"
Diseño,Interaction Designer Architect,8-12,"Diseño de arquitecturas de interacción, sistemas corporativos, frameworks de comportamiento, investigación avanzada"
Diseño,Principal Interaction Designer,10-15,"Liderazgo de prácticas de interacción, innovación en comportamiento, estrategia corporativa, consultoría interna"
Diseño,Interaction Design Director,12-18,"Dirección de diseño de interacción organizacional, estrategia global de comportamiento, transformación interactiva"
Diseño,VP of Interaction Design,15+,"Liderazgo ejecutivo de diseño de interacción, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - Visual Designer
Diseño,Visual Designer Trainee,0-1,"Fundamentos de diseño visual, principios de composición, color y tipografía básicos, herramientas fundamentales"
Diseño,Visual Designer Junior,0-2,"Aplicación de estilos visuales, implementación de lineamientos de marca, layouts visuales básicos, assets gráficos"
Diseño,Visual Designer Mid-level,2-4,"Sistemas visuales, estilo visual consistente, adaptación de marca, dirección de arte básica, storytelling visual"
Diseño,Visual Designer Senior,4-7,"Dirección de arte, sistemas visuales complejos, expresión de marca avanzada, mentorización, estrategia visual"
Diseño,Visual Designer Tech Lead,7-10,"Liderazgo de equipos visuales, definición de estilos, estrategias visuales corporativas, dirección creativa"
Diseño,Visual Designer Architect,8-12,"Diseño de arquitecturas visuales, sistemas de marca corporativos, frameworks de estilo, investigación visual"
Diseño,Principal Visual Designer,10-15,"Liderazgo de prácticas visuales, innovación en diseño visual, estrategia corporativa, consultoría interna"
Diseño,Visual Design Director,12-18,"Dirección de diseño visual organizacional, estrategia global de marca visual, transformación estética, gestión creativa"
Diseño,VP of Visual Design,15+,"Liderazgo ejecutivo de diseño visual, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - 3D Artist
Diseño,3D Artist Trainee,0-1,"Fundamentos de modelado 3D, herramientas básicas, conceptos de iluminación, texturas elementales, renderizado básico"
Diseño,3D Artist Junior,0-2,"Modelado 3D básico, texturas simples, iluminación estándar, composición de escenas básicas, renders simples"
Diseño,3D Artist Mid-level,2-4,"Modelado complejo, materiales avanzados, iluminación realista, composición avanzada, render de calidad, animación básica"
Diseño,3D Artist Senior,4-7,"Dirección artística 3D, escenas complejas, shaders personalizados, mentorización, optimización avanzada, simulaciones"
Diseño,3D Artist Tech Lead,7-10,"Liderazgo de equipos 3D, pipe-lines de producción, estrategias de renderizado, dirección técnica, supervisión de producciones"
Diseño,3D Artist Architect,8-12,"Diseño de arquitecturas 3D, sistemas de producción corporativos, frameworks de renderizado, investigación técnica"
Diseño,Principal 3D Artist,10-15,"Liderazgo de prácticas 3D, innovación en procesos 3D, estrategia técnica, consultoría interna, supervisión de equipos"
Diseño,3D Design Director,12-18,"Dirección de arte 3D organizacional, estrategia global de producción 3D, transformación técnica, gestión creativa"
Diseño,VP of 3D Production,15+,"Liderazgo ejecutivo de producción 3D, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Diseño - Service Designer
Diseño,Service Designer Trainee,0-1,"Fundamentos de service design, herramientas básicas, mapeo de servicios elemental, investigación guiada, documentación básica"
Diseño,Service Designer Junior,0-2,"Mapeo de servicios básico, journey mapping simple, blueprints básicos, investigación de usuarios, stakeholder mapping"
Diseño,Service Designer Mid-level,2-4,"Service blueprints avanzados, ecosistemas de servicios, design thinking facilitación, investigación multi-contexto, workshops"
Diseño,Service Designer Senior,4-7,"Estrategia de servicios, transformación de negocios, facilitación avanzada, mentorización, blueprints complejos, service innovation"
Diseño,Service Designer Tech Lead,7-10,"Liderazgo de equipos service design, definición de metodologías, transformación organizacional, dirección de proyectos complejos"
Diseño,Service Designer Architect,8-12,"Diseño de arquitecturas de servicios, sistemas corporativos, frameworks de transformación, investigación avanzada"
Diseño,Principal Service Designer,10-15,"Liderazgo de prácticas de service design, innovación en servicios, estrategia corporativa, consultoría interna"
Diseño,Service Design Director,12-18,"Dirección de service design organizacional, estrategia global de transformación, visión de servicios, gestión estratégica"
Diseño,VP of Service Design,15+,"Liderazgo ejecutivo de service design, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Marketing - Marketing Generalist
Marketing,Marketing Generalist Trainee,0-1,"Fundamentos de marketing, herramientas básicas, principios de comunicación, social media básico, redacción básica, analytics elemental"
Marketing,Marketing Generalist Junior,0-2,"Implementación de campañas simples, gestión básica de redes sociales, copywriting básico, análisis simple de métricas, apoyo en eventos"
Marketing,Marketing Generalist Mid-level,2-4,"Gestión de campañas completas, estrategia de contenidos, SEO/SEM intermedio, análisis de performance, email marketing, gestión de eventos"
Marketing,Marketing Generalist Senior,4-7,"Desarrollo de estrategias de marketing, gestión presupuestaria, análisis avanzado de performance, campañas integradas, mentorización"
Marketing,Marketing Generalist Tech Lead,7-10,"Liderazgo de equipos de marketing, definición de estrategias, planificación de campañas, gestión de agencias, optimización de resultados"
Marketing,Marketing Generalist Architect,8-12,"Diseño de estrategias integradas, desarrollo de marca, estrategias multicanal, gestión de portfolios de productos, planificación a largo plazo"
Marketing,Principal Marketing Generalist,10-15,"Liderazgo de prácticas de marketing, innovación en estrategias, consultoría interna, mentorización de equipos, optimización de inversión"
Marketing,Marketing Director,12-18,"Dirección de departamentos de marketing, estrategia global, innovación, gestión de managers, planificación a largo plazo, brand governance"
Marketing,VP of Marketing/CMO,15+,"Liderazgo ejecutivo de marketing, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación de marca"

# Marketing - Brand Marketing Specialist
Marketing,Brand Marketing Trainee,0-1,"Fundamentos de branding, herramientas básicas de marca, principios de identidad visual, brand guidelines básicas, apoyo en activaciones"
Marketing,Brand Marketing Junior,0-2,"Implementación de activaciones de marca simples, apoyo en campañas de branding, aplicación de brand guidelines, materiales básicos"
Marketing,Brand Marketing Mid-level,2-4,"Gestión de proyectos de marca, desarrollo de mensajes de marca, activaciones complejas, medición de brand awareness, planificación de eventos"
Marketing,Brand Marketing Senior,4-7,"Estrategia de marca, brand architecture, brand voice, desarrollo de posicionamiento, mentorización, campañas de branding integradas"
Marketing,Brand Marketing Tech Lead,7-10,"Liderazgo de equipos de marca, definición de estrategias de posicionamiento, gestión de rebrandings, brand tracking, gestión de agencias"
Marketing,Brand Marketing Architect,8-12,"Diseño de arquitecturas de marca, estrategias de branding corporativo, frameworks de identidad, estrategias globales, brand ecosystems"
Marketing,Principal Brand Marketing Specialist,10-15,"Liderazgo de prácticas de marca, innovación en branding, estrategia de marca corporativa, consultoría interna, mentorización de equipos"
Marketing,Brand Marketing Director,12-18,"Dirección de branding organizacional, estrategia global de marca, transformación de identidad, gestión de rebrandings complejos"
Marketing,VP of Brand,15+,"Liderazgo ejecutivo de marca, visión estratégica global, desarrollo de marcas disruptivas, brand valuation, equity building"

# Marketing - Creative Marketing Specialist
Marketing,Creative Marketing Trainee,0-1,"Fundamentos de marketing creativo, herramientas creativas básicas, conceptos visuales, ideación básica, storytelling elemental"
Marketing,Creative Marketing Junior,0-2,"Implementación de conceptos creativos simples, desarrollo de piezas creativas básicas, copywriting creativo, ideación guiada"
Marketing,Creative Marketing Mid-level,2-4,"Desarrollo de conceptos creativos complejos, dirección creativa básica, storytelling avanzado, campañas creativas, gestión de producciones"
Marketing,Creative Marketing Senior,4-7,"Estrategia creativa, dirección de conceptos de campaña, mentorización, evaluación creativa, brief development, pitch creativo"
Marketing,Creative Marketing Tech Lead,7-10,"Liderazgo de equipos creativos, definición de estrategias creativas, dirección de campañas complejas, gestión de agencias, evaluación"
Marketing,Creative Marketing Architect,8-12,"Diseño de arquitecturas creativas, estrategias creativas corporativas, frameworks de innovación, investigación creativa"
Marketing,Principal Creative Marketing Specialist,10-15,"Liderazgo de prácticas creativas, innovación en marketing creativo, estrategia corporativa, consultoría interna, mentorización"
Marketing,Creative Marketing Director,12-18,"Dirección creativa organizacional, estrategia global creativa, transformación de comunicación, gestión de equipos creativos"
Marketing,VP of Creative Marketing,15+,"Liderazgo ejecutivo creativo, visión estratégica global, desarrollo de comunicación disruptiva, transformación creativa"

# Marketing - Content Marketer
Marketing,Content Marketing Trainee,0-1,"Fundamentos de marketing de contenidos, herramientas básicas, redacción elemental, blogs básicos, calendarios editoriales simples"
Marketing,Content Marketing Junior,0-2,"Redacción de contenidos básicos, contenidos para redes sociales, blogs, newsletters simples, contenido SEO básico, investigación"
Marketing,Content Marketing Mid-level,2-4,"Estrategia de contenidos para diversos canales, contenido lead gen, white papers básicos, webinars, storytelling, adaptación de mensajes"
Marketing,Content Marketing Senior,4-7,"Desarrollo de estrategias de contenido, contenido técnico especializado, mentorización, content roadmaps, medición de impacto"
Marketing,Content Marketing Tech Lead,7-10,"Liderazgo de equipos de contenido, definición de estrategias editoriales, content governance, gestión de recursos creativos"
Marketing,Content Marketing Architect,8-12,"Diseño de arquitecturas de contenido, estrategias corporativas, frameworks de content marketing, investigación avanzada"
Marketing,Principal Content Marketing Specialist,10-15,"Liderazgo de prácticas de contenido, innovación en formatos, estrategia corporativa, consultoría interna, mentorización de equipos"
Marketing,Content Marketing Director,12-18,"Dirección de contenido organizacional, estrategia global, transformación de comunicación, gestión estratégica de contenidos"
Marketing,VP of Content,15+,"Liderazgo ejecutivo de contenidos, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Marketing - Content Strategist
Marketing,Content Strategist Trainee,0-1,"Fundamentos de estrategia de contenidos, herramientas básicas, análisis elemental de audiencias, conceptos de journey mapping"
Marketing,Content Strategist Junior,0-2,"Desarrollo de planes de contenido básicos, investigación de audiencia, clasificación de contenidos, auditorías simples, categorización"
Marketing,Content Strategist Mid-level,2-4,"Estrategias de contenido por canal, investigación de audiencia avanzada, journey mapping, auditorías complejas, governance básico"
Marketing,Content Strategist Senior,4-7,"Desarrollo de estrategias globales de contenido, modelos de gobernanza, alineación con ventas, mentorización, medición de impacto"
Marketing,Content Strategist Tech Lead,7-10,"Liderazgo de equipos de estrategia, definición de modelos de contenido, content taxonomies, estrategia omnicanal, gestión de recursos"
Marketing,Content Strategist Architect,8-12,"Diseño de arquitecturas de contenido, estrategias globales, frameworks de gobernanza, investigación avanzada, content operations"
Marketing,Principal Content Strategist,10-15,"Liderazgo de prácticas de estrategia, innovación en modelos, estrategia corporativa, consultoría interna, mentorización de equipos"
Marketing,Content Strategy Director,12-18,"Dirección de estrategia de contenidos, estrategia global de comunicación, transformación de procesos, enterprise content strategy"
Marketing,VP of Content Strategy,15+,"Liderazgo ejecutivo de estrategia, visión global de comunicación, desarrollo organizacional, estrategia corporativa, transformación"

# Marketing - Copywriter
Marketing,Copywriter Trainee,0-1,"Fundamentos de copywriting, redacción básica, conceptos de mensaje, herramientas elementales, principios de comunicación"
Marketing,Copywriter Junior,0-2,"Redacción de textos para distintos formatos, adaptación de mensajes, copywriting promocional básico, SEO copywriting elemental"
Marketing,Copywriter Mid-level,2-4,"Copywriting para diversos canales, conceptos creativos, adaptación de tono y voz, headlines, storytelling, redacción persuasiva"
Marketing,Copywriter Senior,4-7,"Desarrollo de conceptos creativos, copy estrategía, mensajes complejos, mentorización, brand voice, proyectos multidisciplinarios"
Marketing,Copywriter Tech Lead,7-10,"Liderazgo de equipos de redacción, definición de estrategias de mensaje, dirección creativa, gestión de proyectos complejos"
Marketing,Copywriter Architect,8-12,"Diseño de sistemas de mensaje, estrategias globales de comunicación, frameworks de redacción, tone of voice corporativo"
Marketing,Principal Copywriter,10-15,"Liderazgo de prácticas de copywriting, innovación en comunicación, estrategia corporativa, consultoría interna, mentorización"
Marketing,Copy Director,12-18,"Dirección de copywriting organizacional, estrategia global de comunicación, transformación de mensajes, gestión creativa"
Marketing,VP of Brand Communications,15+,"Liderazgo ejecutivo de comunicación, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

